#CODE;RUSSIAN;x
opinion_hajj_promised;Обещал[___] совершить хадж.;x #[From.GetEndA]`
opinion_bring_on_hajj;Совершили хадж вместе.;x
opinion_jihad_promised;Пообещал[___] джихад;x #[From.GetEndA]`
opinion_attepmt_hajj;Отчитал[___] меня за хадж.;x #[From.GetEndA]`
opinion_declined_hajj;Отклонил[___] хадж;x #[From.GetEndA]`
opinion_refused_hajj;Отказа[From.GetLasLsya] совершить хадж со мной;x
opinion_hajj_saved_from_bandit;Спас[__] меня от бандитов во время хаджа;x #[From.GetNoneE]`
opinion_hajj_saving_on_hajj;Я спас[_] [_его__] от бандитов;x #[Root.GetNoneE] [From.GetHersHis]`
opinion_hajj_attempt_murder;Нарушил[___] перемирие во время хаджа;x #[From.GetEndA]`
opinion_hajj_rivalry_mended;Положительные слова по поводу хаджа;x
opinion_helped_wudu;Помог[__] с омовением;x #[From.GetNoneE]`
opinion_hajj_not_helpin;Не проявляет милосердие;x
EVTDESC86000;Вы начали готовиться к паломничеству в Мекку. Вскоре Вы отправитесь в путешествие с другими паломниками, чтобы выполнить один из пяти столпов ислама.;x
EVTOPTA86000;Все равны перед Богом!;x
EVTDESC86001;Готовясь к путешествию в Мекку, я узнал[Root.GetEndA], что мои придворные ещё не совершали паломничества в Мекку. [Root.PrimaryTitle.GetRulerTitle] долж[Root.GetNaEn] благоволить своим подданным, од[From.GetNaIn] из них отправится со мной.;x
EVTOPTA86001;Это сделает путешествие более приятным...;x
EVTOPTB86001;Это так дорого...;x
EVTDESC86010;Во время подготовки паломничества в Мекку мне стало ясно, что [Root.Liege.GetTitledName] не совершал[Root.Liege.GetEndA] хаджа.;x
EVTOPTA86010;Отчитать за это!;x
EVTTOOLTIP86011;будет прислушиваться к нам...;x
EVTOPTB86010;Несомненно, он[From.GetEndA] занятой человек...;x
EVTDESC86011;Да благословит Вас Аллах, [Root.PrimaryTitle.GetFOA]!\n Я готовлюсь к хаджу. К сожалению до меня дошли слухи, что Вы не совершали паломничества. Не желаете ли отправиться в путешествие с Вашим покорным слугой?\nВаш верный вассал, [From.GetTitledName];x
EVTOPTA86011;Я начну приготовления немедленно!;x
EVTTOOLTIP86012;будет путешествовать с нами...;x
EVTOPTB86011;Я слишком занят[Root.GetEndA]!;x
EVTTOOLTIP86013;будет разочарован во мне;x
EVTDESC86012;[Root.GetTitledFirstName]!\nЯ присоединюсь к Вам на Вашем пути!\nВаш сюзерен, [From.GetTitledName];x
EVTOPTA86012;Аллах велик!;x
EVTDESC86013;Мне искренне жаль, что я не могу присоединиться к Вам в Вашем паломничестве.\n[From.GetTitledName];x
EVTOPTA86013;Аллах ему судья...;x
EVTDESC86015;Наш сюзерен, [Root.Liege.GetTitledName], слышал о наших планах отправиться в Мекку и шлёт весть об опасностях на дороге из-за неверных и разбойников.;x
EVTOPTA86015;Отправиться с охраной;x
EVTOPTB86015;Отправиться налегке;x
