#CODE;RUSSIAN;x
NOT_INTERESTED_IN_ANY_SOCIETY_TRIGGER;В данный момент НЕ проявляет интерес к обществам;x
INTERESTED_IN_ANY_SOCIETY_TRIGGER;В данный момент проявляет интерес к обществам;x
reprimanded_merchants;Купцы наказаны;x
reprimanded_merchants_desc;Купцы из этого округа расстроены после потери привилегий из-за ведения нечестного бизнеса.;x
dealing_with_dishonest_traders;Переговоры с непорядочными торговцами;x
dealing_with_dishonest_traders_desc;Эт[GetEtaEtot] [GetAgedPerson] ищет и убеждает торговцев строже соблюдать договор.;x
defending_vassal_rights;Защищает вассальное право;x
defending_vassal_rights_desc;Это[GetEtaEtot] [GetAgedPerson] извест[GetNaEn] тем, что открыто говорит, когда [GetHersHis] вассалы подвергаются давлению со стороны других людей.;x
EVTDESC_JD_30002;[Root.GetGovernorLetterGreeting][Root.GetChineseLetterBlessing].\nДо наше[From.Offmap.Ruler.GetYGo] Небесн[From.Offmap.Ruler.GetOyOgo] [From.Offmap.Ruler.GetEmpressEmperorCapGEN] дошли сведения, что купцы из Ваших земель ведут себя бесчестно и непочтительно, но мы уверены, что Вы немедленно положите этому конец.;x
EVTOPTA_JD_30002;Пора урезать привилегии торговых гильдий.;x
EVTOPTB_JD_30002;Пусть [target_marshal.GetFirstName] разберётся с нарушителями.;x
EVTOPTC_JD_30002;Не наше дело вмешиваться в дела купцов.;x
EVTOPTB_JD_30003;Я не хочу портить отношения с сюзереном.;x
EVTDESC_JD_30004;Ваш вассал, [From.GetTitledFirstName], выразил[From.GetEndA] несогласие с политикой вмешательства в дела купцов, заявив, что это нарушение городского права. [From.GetSheHeCap] публично объявил[From.GetEndA] об этом, назвав Ваше решение безответственным превышением властных полномочий.;x
EVTOPTA_JD_30004;Нечего мне указывать! Лучше бы за торгашами своими следил[From.GetEndA]!;x
OFFMAP_CHANGE_CURRENCY_GAIN;$OFFMAP|Y$: $CURRENCY|Y$ увеличится на $VALUE|G$;x
OFFMAP_CHANGE_CURRENCY_LOSE;$OFFMAP|Y$: $CURRENCY|Y$ уменьшится на $VALUE|R$;x
EVTDESC_JD_30011;Сегодня ночью я и [chinese_courtier.GetBestName] затеяли долгую беседу, в частности говорили [chinese_courtier.GetRootMatchingPersonalityStreak]. Видимо, я произвел[Root.GetEndA] на н[chinese_courtier.GetHersHis] хорошее впечатление, [chinese_courtier.GetSheHe] сказал[chinese_courtier.GetEndA], что пошлёт письмо, в котором собирается сообщить, какой тёплый приём был [chinese_courtier.GetHerHim] оказан.;x
EVTOPTA_JD_30011;Приятный вечер.;x
EVTOPTB_JD_30011;Надо всем рассказать об этом.;x
EVTDESC_JD_30012;Трудно было незаметить, что [chinese_courtier.GetBestName] в последнее время выглядит всё более раздражённ[chinese_courtier.GetOyYm], а сегодня я снова ляпнул[Root.GetEndA] что-то, не подумав, и это окончательно вывело [chinese_courtier.GetHersHis] из равновесия. [chinese_courtier.GetSheHeCap] заявил[chinese_courtier.GetEndA], что обязательно доложит об этом [offmap_china.Ruler.GetEmpressEmperorCapDAT].;x
EVTOPTA_JD_30012;Это навредит нашим отношениям с империей [offmap_china.Governor.Offmap.GetShortName].;x
EVTOPTB_JD_30012;Стража, арестуйте эт[chinese_courtier.GetUOgo] [chinese_courtier.GetAgedPersonACC]!;x
chinese_silk_road_favored_status;Просьба о торговом соглашении;x
chinese_silk_road_favored_status_modifier_tt;Все §Y[From.PrimaryTitle.GetAdjective]ские§! округа с торговыми постами повысят свой доход на §G100%§! на следующие 25 лет.;x
chinese_imperial_trade_contract;Императорское торговое соглашение;x
MULTIPLICATIVE_TRADE_POST_INCOME_MODIFIER;Доход от торговли;x
EVTOPTA_JD_30045;Да поможет нам [Root.TrueReligion.GetHighGodName]...;x
EVTOPTA_JD_30047;Какая же мощь нужна, чтобы свалить этого зверя?!;x
SETTLEMENT_FINISHED_LOG;Закончилось строительство поселения типа $SETTLEMENTTYPE|Y$ в округе $PROVINCE|Y$;x
null_society;Общество;x
null_society_currency;Ресурс общества;x
HAS_ARTIFACT;Владеет артефактом, известным как $VAL|Y$;x
HAS_ARTIFACT_NOT;НЕ владеет артефактом, известным как $VAL|Y$;x
OFFMAP_STATUS_TRIGGER_NOT;Отсутствие положения $STATUS|Y$;x
OFFMAP_STATUS_TRIGGER;Наличие положения $STATUS|Y$;x
OFFMAP_PREV_STATUS_TRIGGER_NOT;Предыдущее положение - НЕ $STATUS|Y$;x
OFFMAP_PREV_STATUS_TRIGGER;Предыдущее положение - $STATUS|Y$;x
OFFMAP_POLICY_TRIGGER_NOT;Отстутсиве политики $POLICY|Y$;x
OFFMAP_POLICY_TRIGGER;Наличие политики $POLICY|Y$;x
OFFMAP_PREV_POLICY_TRIGGER_NOT;Предыдущая политика - НЕ $POLICY|Y$;x
OFFMAP_PREV_POLICY_TRIGGER;Предыдущая политики - $POLICY|Y$;x
OFFMAP_STATUS_FLAG_TRIGGER_NOT;Отсутствие флага $FLAG|Y$ в текущем положении;x
OFFMAP_STATUS_FLAG_TRIGGER;Наличие флага $FLAG|Y$ в текущем положении;x
OFFMAP_PREV_STATUS_FLAG_TRIGGER_NOT;Отстуствие флага $FLAG|Y$ в предыдущем положении;x
OFFMAP_PREV_STATUS_FLAG_TRIGGER;Наличие флага $FLAG|Y$ в предыдущем положении;x
OFFMAP_POLICY_FLAG_TRIGGER_NOT;Отсутствие флага $FLAG|Y$ в текущей политике;x
OFFMAP_POLICY_FLAG_TRIGGER;Наличие флага $FLAG|Y$ в текущей политике;x
OFFMAP_PREV_POLICY_FLAG_TRIGGER_NOT;Отсутствие флага $FLAG|Y$ в предыдущей политике;x
OFFMAP_PREV_POLICY_FLAG_TRIGGER;Наличие флага $FLAG|Y$ в предыдущей политике;x
OFFMAP_SET_STATUS;Положение изменится на $STATUS|Y$;x
OFFMAP_SET_POLICY;Политика изменится на $POLICY|Y$;x
OFFMAP_SET_HOLDER;Владельцем станет $WHO|Y$;x
OFFMAP_HAS_NAME_NOT;Текущее название - НЕ $NAME|Y$;x
OFFMAP_HAS_NAME;Текущее название - $NAME|Y$;x
OFFMAP_HAS_NOT_USED_NAME;Название $NAME|Y$ НЕ использовалось;x
OFFMAP_HAS_USED_NAME;Название $NAME|Y$ использовалось;x
OFFMAP_SET_NAME;Название изменится на $NAME|Y$;x
IS_OFFMAP_RULER_NOT;НЕ правит за пределами карты мира;x
IS_OFFMAP_RULER;Правит за пределами карты мира;x
IS_OFFMAP_GOVERNOR_NOT;НЕ наместник правителя государства за пределами карты мира;x
IS_OFFMAP_GOVERNOR;Наместник правителя государства за пределами карты мира;x
ADULT_ONLY;Только взрослые;x
OFFMAP_CURRENCY_TRIGGER_NOT;Условие $CURRENCY|Y$ $COMPARISON|Y$ $VALUE|Y$ НЕ выполняется с государством $OFFMAP|Y$;x
OFFMAP_CURRENCY_TRIGGER;$CURRENCY|Y$ $COMPARISON|Y$ $VALUE|Y$ с государством $OFFMAP|Y$;x
monthly_grace;Милость в месяц;x
offmap_full_title;$TIER$ $TITLE$;x
OFFMAP_BOONS;§YПопросить дары§!;x
OFFMAP_GIFTS;§YСделать подношение§!;x
OFFMAP_TAG_TRIGGER_NOT;НЕ $OFFMAP|Y$;x
OFFMAP_TAG_TRIGGER;$OFFMAP|Y$;x
OFFMAP_MAP_MODE;§YВзглянуть на карте§!;x
OFFMAP_MAP_MODE_DESC;Показывает наместничества, зависимые государства и дипломатический радиус [Root.GetShortGenericNameGEN];x
DECISION_SELECT_THIRD_PARTY;§RВы должны выбрать третье лицо (или цель)§!;x
THIRD_PARTY_SCORE;Значение;x
OCCUPATION_WARSCORE_LIMIT_ATTACKERS;Военный счёт от оккупации ограничен значением $VALUE$ для стороны-агрессора в этом casus belli;x
OCCUPATION_WARSCORE_LIMIT_DEFENDERS;Военный счёт от оккупации ограничен значением $VALUE$ для обороняющейся стороны в этом casus belli;x
BECOME_SECRET_HERETIC_EFFECT;Тайно примет $HERESY|Y$§Y[__]§! (ересь).\n;x #R_ISM
OFFMAP_NEWS_TRIGGER_NOT;НЕ получает новости от государства $OFFMAP|Y$;x
OFFMAP_NEWS_TRIGGER;Получает новости от госудаства $OFFMAP|Y$;x
MAPMODE_OFFMAP_GOVERNOR;§YНаместник государства $OFFMAP$§!;x
MAPMODE_OFFMAP_TRIBUTARY;§YСателлит (данник) государства $OFFMAP$§!;x
MAPMODE_OFFMAP_RANGE;§YДипломатический радиус государства $OFFMAP$§!;x
TRADE_ROUTE_VALUE_REDUCED;Осады и оккупация снижают доходность торгового пути на $VALUE|Y$% в этом округе;x
TRADE_ROUTE_VALUE_REDUCED_BY_THIS;Враждебные действия в этом округе снижают доходность торгового пути на $VALUE|Y$%;x
OFFMAP_NEWS;Получать новости;x
OFFMAP_NEWS_TOOLTIP;§YПолучать новости§!;x
OFFMAP_NEWS_TOOLTIP_DESC;Если эта опция активна, Вы будете получать новости о том, что происходит в [Root.GetShortGenericNamePREP];x
OFFMAP_TRIBUTARIES;Зависимые государства;x
OFFMAP_TRIBUTARIES_TOOLTIP;§YЗависимые государства§!;x
OFFMAP_NAPS;Мирные соглашения;x
OFFMAP_NAPS_TOOLTIP;§YМирные соглашения§!;x
OFFMAP_NAPS_TOOLTIP_DESC;[Root.GetName] может заключать мирные соглашения с правителями, чтобы не опасаться взаимных вторжений.;x
OFFMAP_GRACE_TOOLTIP;§Y[Root.GetCurrency]§! династии §Y[Root.Ruler.GetOnlyDynastyName]§! по отношению к Вам;x
OFFMAP_GRACE_TOOLTIP_GAIN;Прибавка в месяц:;x
OFFMAP_GRACE_TOOLTIP_DESC;[Root.GetCurrency] можно получить, выплачивая дань империи [Root.GetShortName], которая в свою очередь преподносит Вам дары.;x
OFFMAP_PREV_STATUS;Прошлое положение: $STATUS|Y$;x
OFFMAP_PREV_POLICY;Прошлая политика: $POLICY|Y$;x
EFFECT_ON_OFFMAP;[Root.Governor.GetBestName] получит:;x
OFFMAP_POLICY;Политика: $POLICY|Y$;x
OFFMAP_STATUS;Положение: $STATUS|Y$;x
TRADE_ROUTE_VALUE_MULTIPLIER_EFFECT;$ROUTE|Y$ станет иметь доходность в $VALUE|Y$% от обычного значения;x
TRADE_ROUTE_BASE_VALUE_EFFECT;$ROUTE|Y$ станет иметь базовую ценность $VALUE|Y$;x
ACTIVE_TRADE_ROUTE_IN_PROVINCE;\n$ROUTE|Y$\nЧерез этот округ проходит $ROUTE|Y$.\n;x
INACTIVE_TRADE_ROUTE_IN_PROVINCE;\n$ROUTE|Y$\n§RВ результате ситуации в округе §!$ROUTE|Y$§R блокируется, что нарушает мировые торговые связи.§!\n;x
OFFMAP_GRACE;Милость;x
TRADE_ROUTE_TRADE_CENTER_UNOWNED;§YПотенциальный торговый пост§!;x
TRADE_ROUTE_TRADE_CENTER_OWNED;§YТорговым постом владеет§! $OWNER|Y$;x
TRADE_ROUTE_TRADE_CENTER_DESC;Некоторые округа обладают огромным потенциалом для торговли из-за своего стратегического положения на торговом пути.\nВладелец округа может построить торговый пост, чтобы получить экономические преимущества.;x
TXT_GRACE_desc;\nМилость даётся за §Yподношения§! [offmap_china.Ruler.GetEmpressEmperorCapDAT], Вы можете использовать накопленную милость, чтобы §Gпопросить дары§!. Вся милость, которую Вы накопили, будет отдана Вашему наследнику при передаче власти.\n§RВся милость будет утрачена, если в Китае сменится правящая династия!§!;x
INTERESTED_IN_SOCIETY_TRIGGER_NOT;НЕ проявляет интерес к вступлению в общество $SOCIETY$;x
confucian_bureaucracy;Конфуцианская бюрократия;x
GOV_TOLERATES_RELIGIONS_DESC;Религиозные различия не имеют значение;x
GOV_RELIGION_TOLERATED_BY_OTHERS_DESC;Нет штрафа к мнению о людях другой веры;x
GOV_NO_VASSAL_GOVERNMENT_PENALTIES_DESC;Нет штрафов к мнению для вассалов с другой политической системой;x
TITLE_USURPTION_DISALLOWED;Титул нельзя узурпировать;x
succ_offmap_succession;Конфуцианская бюрократия;x
offmap_succession;Назначение;x
INTERACTION_ACTOR_NOT_COALITION;§Y[Actor.GetTitledFirstName]§! не состоит в оборонительном пакте против правителя по имени §Y[Recipient.GetTitledFirstName]§!;x
ATTRITION_AT_SEA;Измор в плавании: $VALUE|R$%;x
OUT_OF_SUPPLIES_ATTRITION;Измор от нехватки припасов: $VALUE|R$%;x
ABOVE_SUPPLY_LIMIT_ATTRITION;Измор от лимита снабжения: $VALUE|R$%;x
ATTRITION_COMMANDER_EFFECT;$LEADER|Y$: $VALUE$;x
ATTRITION_CURRENT;Ежемесячный измор: §Y$VALUE$%§!;x
MODIFIER_ARMY_REINFORCE_RATE;Скорость пополнения ополчения;x
UNIT_LEADER_REINFORCE_RATE;$LEADER|Y$ меняет скорость пополнения на $REINFORCE$;x
SKIRMISH_ATTACK;Урон в фазе обстрела;x
SKIRMISH_DEFENCE;Защита в фазе обстрела;x
MELEE_ATTACK;Урон в фазе ближнего боя;x
MELEE_DEFENCE;Защита в фазе ближнего боя;x
PURSUIT_ATTACK;Урон в фазе преследования;x
PURSUIT_DEFENCE;Защита в фазе преследования;x
PHASE_COMBAT_MODIFIER;Урон в фазе $PHASE$: $PERC$;x
ANY_NEIGHBOR_INDEPENDENT_RULER_STARTS;Любой соседний независимый правитель;x
DEMESNE_SIZE_PERCENTAGE;Размер домена §Y$COMPARISON$ $VALUE$%§! от лимита;x
TRIBUTARY_RELATIONSHIP;$TYPE|Y$ / §Y$SUZERAIN$§! взимает дань;x
GOV_CANNOT_CREATE_EMPIRES_DESC;Нельзя создавать империи;x
GOVERNMENT_CANNOT_CREATE_EMPIRES;Нельзя создавать империи;x
OFFMAP_VIEW_BUTTON_INSTANT;$OFFMAP|Y$\nВзаимодействие с государством §Y$OFFMAP_SHORT$§!.;x
NOT_EQUAL;НЕ;x # не равно
RELATIVE_REALM_SIZE;Размер страны §Y$COMPARISON$ $VALUE$%§! страны, которой правит $WHO|Y$;x
TOTAL_REALM_SIZE;Размер страны: $SIZE|Y$;x
AIREASON_ATTACK_ON_TRIBUTARY;Война против своего данника;x
sold_my_province;Мой округ был продан;x
sold_vassal_province;Вассальный округ был продан;x
EVTDESC_ADV_3_A;Уважаем[Root.GetAyaYy] [Root.GetTitledFirstName],\nу Вас богатые земли и прекрасн[marriage_child.GetAyaYy] [marriage_child.GetDaughterSon] [marriage_child.GetTitledFirstName]. Для меня великая честь позаботиться о н[marriage_child.GetEyYom] или об округе [selling_province.GetName]. Это укрепит мир между нами.\n [From.GetTitledName];x
EVTDESC_ADV_3_B;Уважаем[Root.GetAyaYy] [Root.GetTitledFirstName],\nбогатые земли характеризует Вас как хорошего правителя. У меня предложение к Вам, оно поможет установить между нами долгий и крепкий мир. Почему бы Вам не передать округ [selling_province.GetName] в моё личное пользование? Тогда никто не посмеет угрожать Вам снова.\n [From.GetTitledName];x
EVTOPTA_ADV_3;[selling_province.GetName]... В этом есть смысл.;x
EVTOPTA_ADV_3_TT;Авантюрист §Y[From.GetTitledFirstName]§! получит предложение приобрести Ваш округ §Y[selling_province.GetName]§! по цене §G[selling_province.price.GetValue]§!¤. Если [From.GetSheHe] согласится, то станет Вашим вассалом, а Вы получите защиту от набегов других авантюристов сроком в 10 лет.\n;x
EVTOPTB_ADV_3_TT;Авантюрист §Y[From.GetTitledFirstName]§! получит предложение приобрести округ §Y[selling_province.GetName]§!, принадлежащий Вашему вассалу по имени §Y[selling_province.Holder.GetTitledFirstName]§!, по цене §G[selling_province.price.GetValue]§!¤. Если [From.GetSheHe] согласится, то станет Вашим вассалом, а Вы получите защиту от набегов других авантюристов сроком в 10 лет.\nДругие вассалы будут недовольны, что вызовет следующее:\n;x
EVTOPTC_ADV_3;[marriage_child.GetFirstName] станет прекрасн[marriage_child.GetOyYm] [marriage_child.GetHusbandWifeINS].;x
EVTOPTC_ADV_3_TT;Брак подразумевает пакт о ненападении с авантюристом, известным как §Y[From.GetTitledFirstName]§!.;x
EVTOPTD_ADV_3;Угроза, облечённая в комплимент, всё равно угроза!;x
EVTOPTD_ADV_3_TT;§Y[From.GetTitledFirstName]§! получит Ваш отказ.\n;x
EVTDESC_ADV_4;Благородн[Root.GetAyaYy] [Root.GetTitledFirstName],\nбыло бы глупо отказаться от столь щедрого предложения. Я с гордостью приму вассальную клятву, [selling_province.GetName] будет процветать под моей защитой. Даю Вам слово!\n [From.GetTitledName];x
EVTOPTA_ADV_4;Рад[Root.GetEndA] слышать, что мы решили это мирно.;x
EVTOPTA_ADV_5;Если такова цена мира, я соглас[Root.GetNaEn].;x
EVTOPTD_ADV_5;Возмутительно! Встретимся на поле боя!;x
EVTOPTA_ADV_5_tooltip;Все прочие вассалы изменят мнение, §Y[Root.GetTitledFirstName]§! получит §R-15§! к их отношению на §Y5§! лет. §Y(Продажа вассального округа)§!\n;x
raiding_adventurer_war_declaration_tooltip;§Y[From.GetTitledFirstName]§! заявит о своих намерениях осадить земли Вашей страны со своей бандой воров и разбойников.;x
desc_settled_adventurer;Правитель этих земель поселил здесь знаменитого налетчика-авантюриста, который защищает их от набегов чужеземцев.;x
GetCouncillorLetterGreeting_string;От: [From.GetJobTitle] [From.Liege.GetChineseComplimentAdjective][From.Liege.GetOyOgo] [From.Liege.GetEmpressEmperorCapGEN]\nКому: [Root.GetChineseComplimentAdjectiveCap][Root.GetAyaYy] [Root.GetTitle] [Root.GetFirstName]\n;x
GetRulerLetterGreeting_string;От: [From.GetMediumChineseEmperorName]\nКому: [Root.GetChineseComplimentAdjectiveCap][Root.GetAyaYy] [Root.GetTitle] [Root.GetFirstName]\n;x
String_peace_and_unity;Пусть мир и единение благословят Ваши земли;x
String_strength_and_vigor;Пусть сила и стойкость сопутствуют Вашему правлению;x
String_prospering_lands;Пусть Ваши земли всегда процветают;x
String_divine_guidance;Пусть Небеса укажут Вам путь;x
String_heavens_blessings;Да благословит Вас Небо;x
String_good_health;Крепкого Вам здоровья;x
EVTDESC_JD_20002_A;[Root.GetCouncillorLetterGreeting][Root.GetChineseLetterBlessing].\nДабы укрепить отношения между нашими народами, м[From.Liege.GetOyaOy] [From.Liege.GetLordLady] отправил[From.Liege.GetEndA] меня в Ваши земли. Почту за честь посетить Ваш двор и [From.GetCGMission].;x
EVTDESC_JD_20002_B;[Root.GetCouncillorLetterGreeting][Root.GetChineseLetterBlessing].\nДабы продолжить сотрудничество между нами и нашими народами, м[From.Liege.GetOyaOy] [From.Liege.GetLordLady] отправил[From.Liege.GetEndA] меня в Ваши земли. Почту за честь посетить Ваш двор и [From.GetCGMission].;x
GetCGMission_diplomatic_visit;обсудить политику с Вашими дипломатами;x
GetCGMission_oversee_troops;проинспектировать Ваши войска;x
GetCGMission_study_military;изучить Вашу военную тактику;x
GetCGMission_oversee_tax_collection;понаблюдать за сбором налогов;x
GetCGMission_trade;установить торговые соглашения с местными купцами;x
GetCGMission_preaching;поведать Вашим подданым о Небесном Порядке;x
GetCGMission_study_theology;обсудить философию с Вашими священнослужителями;x
String_chaste;целомудренн;x
String_radiant;лучезарн;x
