#CODE;RUSSIAN;x
GetWeatherAdjective_Sunny;солнечн;x
GetWeatherAdjective_Rainy;дождлив;x
GetWeatherAdjective_Snowy;снежн;x
GetWeatherAdjective_Stormy;ненастн;x
GetWeatherAdjective_Windy;ветренн;x
GetWeatherAdjective_Cloudy;облачн;x
GetWeatherAdjective_Foggy;туманн;x
GetTemperature_Sweltering;знойн;x
GetTemperature_Freezing;морозн;x
GetTemperature_Cold;холодн;x
GetTemperature_Warm;тёпл;x
GetHolding_Castle_1;замок;x
GetHolding_Castle_2;замок;x
GetHolding_Castle_3;замок;x #дворец
GetHolding_Temple_1;храм;x
GetHolding_Nomad_1;лагерь;x
GetHolding_Nomad_2;лагерь;x #encampment
GetHolding_Nomad_3;лагерь;x #дворец
GetHolding_Tribal_1;чертог;x #village
GetHolding_Tribal_2;чертог;x #town
GetHolding_Tribal_3;чертог;x #fortress
GetHolding_City_1;город;x
GetHolding_City_2;город;x
GetHolding_City_3;город;x #metropolis
GetHolding_Fallback_1;лагерь;x #столица
GetHouseOfWorship_Christian;церковь;x
GetHouseOfWorship_Muslim;мечеть;x
GetHouseOfWorship_Pagan;храм;x
GetHouseOfWorship_Zoroastrian;храм;x
GetHouseOfWorship_Jewish;синагога;x
GetHouseOfWorship_Hindu;храм;x
GetHouseOfWorship_Buddhist;храм;x
GetHouseOfWorship_Jain;храм;x
EVTDESC_MNM_6250_A;Я обдумал[Root.GetEndA] свою миссию по подготовке учени[assassin_protege_1.GetTsyKa] в тёмном искусстве убийства и думаю, [assassin_protege_1.GetFirstName] отлично для неё подойдёт. [assassin_protege_1.GetSheHeCap] показал[assassin_protege_1.GetEndA] себя хорошо в некоторых областях, похоже, [assassin_protege_1.GetSheHe], куда умнее, чем кажется... Это опасный путь, но, возможно, под моим крылом эт[assassin_protege_1.GetEtaEtot] [assassin_protege_1.GetAgedPerson] может преуспеть.;x
EVTDESC_MNM_6250_B;Сегодня я поймал[Root.GetEndA] карманни[assassin_protege.GetTsuKa], при попытке меня обокрасть. Стражники были суровы с эт[assassin_protege.GetOyIm] [assassin_protege.GetAgedPersonINS], но [assassin_protege.GetSheHe] держа[assassin_protege.GetLasLsya] достойно, и я вспомнил[Root.GetEndA] о своей миссии для ассасинов по подготовке ученика. Кто знает, так[assassin_protege.GetAyaOy] ли [assassin_protege.GetSheHe] ловк[assassin_protege.GetAyaIy], как кажется, но, возможно, этот инцидент может оказаться весьма полезным.;x
EVTOPTA_MNM_6250;Я поговорю с н[assassin_protege_1.GetEyIm] о [assassin_protege_1.GetHersHis] потенциале.;x
EVTOPTA_MNM_6250_TT;§Y[assassin_protege_1.GetTitledFirstName]§! станет Ваш[assassin_protege_1.GetEyIm] учени[assassin_protege_1.GetTseyKom].\n;x
EVTOPTB_MNM_6250;Думаю, [assassin_protege_2.GetTitledFirstName] справится лучше...;x
